id;vege_name;食譜名稱;圖片相對路徑
476284;九層塔;九層塔薑絲蛤蜊湯;images\九層塔\476284_九層塔薑絲蛤蜊湯.jpg
477239;九層塔;蒜香九層塔鮭魚;images\九層塔\477239_蒜香九層塔鮭魚.jpg
477596;九層塔;蒜香九層塔三色蛋捲;images\九層塔\477596_蒜香九層塔三色蛋捲.jpg
474705;九層塔;台式羅勒燒雞;images\九層塔\474705_台式羅勒燒雞.jpg
478176;九層塔;台式早午餐-九層塔厚蛋;images\九層塔\478176_台式早午餐-九層塔厚蛋.jpg
476026;九層塔;九層塔薑絲大蒜炒蛤蜊;images\九層塔\476026_九層塔薑絲大蒜炒蛤蜊.jpg
477606;九層塔;涼拌蒜香九層塔鹽水鴨;images\九層塔\477606_涼拌蒜香九層塔鹽水鴨.jpg
475123;九層塔;九層塔起司烘蛋;images\九層塔\475123_九層塔起司烘蛋.jpg
470056;九層塔;九層塔雜炊;images\九層塔\470056_九層塔雜炊.jpg
467396;九層塔;九層塔煎蛋;images\九層塔\467396_九層塔煎蛋.jpg
465917;九層塔;九層塔煎蛋;images\九層塔\465917_九層塔煎蛋.jpg
476542;九層塔;九層塔芝麻厚燒餅/Vegan純素;images\九層塔\476542_九層塔芝麻厚燒餅_Vegan純素.jpg
467131;九層塔;鐵板九層塔蛋;images\九層塔\467131_鐵板九層塔蛋.jpg
475734;九層塔;十分鐘上菜-炸蒜香九層塔風味香菇;images\九層塔\475734_十分鐘上菜-炸蒜香九層塔風味香菇.jpg
470474;九層塔;九層塔骨燉排骨湯;images\九層塔\470474_九層塔骨燉排骨湯.jpg
467048;九層塔;九層塔醬拌麵;images\九層塔\467048_九層塔醬拌麵.jpg
466528;九層塔;九層塔醬香豆腐;images\九層塔\466528_九層塔醬香豆腐.jpg
463326;九層塔;九層塔烘蛋;images\九層塔\463326_九層塔烘蛋.jpg
462631;九層塔;九層塔拋豬;images\九層塔\462631_九層塔拋豬.jpg
460775;九層塔;九層塔烘蛋;images\九層塔\460775_九層塔烘蛋.jpg
466042;九層塔;九層塔蛋起司吐司;images\九層塔\466042_九層塔蛋起司吐司.jpg
456490;九層塔;九層塔蛋;images\九層塔\456490_九層塔蛋.jpg
472236;九層塔;好簡單「九層塔蛋」熱炒店必點！！;images\九層塔\472236_好簡單「九層塔蛋」熱炒店必點！！.jpg
462579;九層塔;九層塔起司豆腐三明治;images\九層塔\462579_九層塔起司豆腐三明治.jpg
461098;九層塔;九層塔香蒜麵包;images\九層塔\461098_九層塔香蒜麵包.jpg
456597;九層塔;九層塔菇菇;images\九層塔\456597_九層塔菇菇.jpg
466635;九層塔;水炒香辣九層塔牛肉絲;images\九層塔\466635_水炒香辣九層塔牛肉絲.jpg
459428;九層塔;青醬（九層塔版）;images\九層塔\459428_青醬（九層塔版）.jpg
468950;九層塔;10分鐘搞定！簡單又好吃的九層塔煎蛋;images\九層塔\468950_10分鐘搞定！簡單又好吃的九層塔煎蛋.jpg
450796;九層塔;九層塔煎蛋;images\九層塔\450796_九層塔煎蛋.jpg
453947;九層塔;三杯九層塔蛤蜊;images\九層塔\453947_三杯九層塔蛤蜊.jpg
452953;九層塔;九層塔煎蛋餅;images\九層塔\452953_九層塔煎蛋餅.jpg
467438;九層塔;法式番茄羅勒起司大圓一超簡單;images\九層塔\467438_法式番茄羅勒起司大圓一超簡單.jpg
449605;九層塔;九層塔煎蛋;images\九層塔\449605_九層塔煎蛋.jpg
379428;九層塔;快燜鮮甜九層塔蛤蜊;images\九層塔\379428_快燜鮮甜九層塔蛤蜊.jpg
448142;九層塔;九層塔炒蛋;images\九層塔\448142_九層塔炒蛋.jpg
450744;九層塔;九層塔炒麵腸;images\九層塔\450744_九層塔炒麵腸.jpg
452410;九層塔;蘋果加九層塔煎蛋;images\九層塔\452410_蘋果加九層塔煎蛋.jpg
458405;九層塔;羅勒蜂蜜蛋糕（無木框）;images\九層塔\458405_羅勒蜂蜜蛋糕（無木框）.jpg
449881;九層塔;九層塔蛋炒飯;images\九層塔\449881_九層塔蛋炒飯.jpg
446878;九層塔;九層塔炒蛋;images\九層塔\446878_九層塔炒蛋.jpg
465464;九層塔;超下飯九層塔炒蛤蠣3分鐘就學會！;images\九層塔\465464_超下飯九層塔炒蛤蠣3分鐘就學會！.jpg
464974;九層塔;超簡單四步驟，九層塔酥脆蚵仔酥這樣做！;images\九層塔\464974_超簡單四步驟，九層塔酥脆蚵仔酥這樣做！.jpg
453640;九層塔;九層塔海鮮櫛瓜煎餅;images\九層塔\453640_九層塔海鮮櫛瓜煎餅.jpg
464260;九層塔;青醬（九層塔核桃青醬）風味食材／打勻;images\九層塔\464260_青醬（九層塔核桃青醬）風味食材／打勻.jpg
452414;九層塔;九層塔翠蘋果炒雞肉;images\九層塔\452414_九層塔翠蘋果炒雞肉.jpg
454884;九層塔;九層塔香蒜奶油抹醬;images\九層塔\454884_九層塔香蒜奶油抹醬.jpg
460562;九層塔;茄子也可以好看又少油！｜涼拌九層塔茄子;images\九層塔\460562_茄子也可以好看又少油！｜涼拌九層塔茄子.jpg
445241;九層塔;九層塔蚵仔湯;images\九層塔\445241_九層塔蚵仔湯.jpg
